SFO	IUR	RfDo	RfCi	ABS	Analyte	CAS No.
 	 	7.0E-04	 	0.1	Chlorfenvinphos	470-90-6
 	 	9.0E-02	 	0.1	"Chlorimuron, Ethyl-"	90982-32-4
 	 	1.0E-01	1.5E-04	 	Chlorine	7782-50-5
 	 	3.0E-02	2.0E-04	 	Chlorine Dioxide	10049-04-4
 	 	3.0E-02	 	 	Chlorite (Sodium Salt)	7758-19-2
 	 	 	5.0E+01	 	"Chloro-1,1-difluoroethane, 1-"	75-68-3
 	3.0E-04	2.0E-02	2.0E-02	 	"Chloro-1,3-butadiene, 2-"	126-99-8
4.6E-01	 	 	 	0.1	"Chloro-2-methylaniline HCl, 4-"	3165-93-3
1.0E-01	7.7E-05	3.0E-03	 	0.1	"Chloro-2-methylaniline, 4-"	95-69-2
2.7E-01	 	 	 	 	"Chloroacetaldehyde, 2-"	107-20-0
 	 	 	 	0.1	Chloroacetic Acid	79-11-8
 	 	 	3.0E-05	0.1	"Chloroacetophenone, 2-"	532-27-4
2.0E-01	 	4.0E-03	 	0.1	"Chloroaniline, p-"	106-47-8
 	 	2.0E-02	5.0E-02	 	Chlorobenzene	108-90-7
 	 	1.0E-01	 	0.1	"Chlorobenzene sulfonic acid, p-"	98-66-8
1.1E-01	3.1E-05	2.0E-02	 	0.1	Chlorobenzilate	510-15-6
 	 	3.0E-02	 	0.1	"Chlorobenzoic Acid, p-"	74-11-3
 	 	3.0E-03	3.0E-01	 	"Chlorobenzotrifluoride, 4-"	98-56-6
 	 	4.0E-02	 	 	"Chlorobutane, 1-"	109-69-3
 	 	 	5.0E+01	 	Chlorodifluoromethane	75-45-6
 	 	2.0E-02	 	 	"Chloroethanol, 2-"	107-07-3
3.1E-02	2.3E-05	1.0E-02	9.8E-02	 	Chloroform	67-66-3
 	 	 	9.0E-02	 	Chloromethane	74-87-3
2.4E+00	6.9E-04	 	 	 	Chloromethyl Methyl Ether	107-30-2
3.0E-01	 	3.0E-03	1.0E-05	0.1	"Chloronitrobenzene, o-"	88-73-3
6.0E-02	 	7.0E-04	2.0E-03	0.1	"Chloronitrobenzene, p-"	100-00-5
 	 	5.0E-03	 	 	"Chlorophenol, 2-"	95-57-8
 	 	 	4.0E-04	 	Chloropicrin	76-06-2
3.1E-03	8.9E-07	1.5E-02	 	0.1	Chlorothalonil	1897-45-6
 	 	2.0E-02	 	 	"Chlorotoluene, o-"	95-49-8
 	 	2.0E-02	 	 	"Chlorotoluene, p-"	106-43-4
2.4E+02	6.9E-02	 	 	0.1	Chlorozotocin	54749-90-5
 	 	5.0E-02	 	0.1	Chlorpropham	101-21-3
 	 	1.0E-03	 	0.1	Chlorpyrifos	2921-88-2
 	 	1.0E-02	 	0.1	Chlorpyrifos Methyl	5598-13-0
 	 	2.0E-02	 	0.1	Chlorsulfuron	64902-72-3
 	 	1.0E-02	 	0.1	Chlorthal-dimethyl	1861-32-1
 	 	8.0E-04	 	0.1	Chlorthiophos	60238-56-4
 	 	1.5E+00	 	 	"Chromium(III), Insoluble Salts"	16065-83-1
5.0E-01	8.4E-02	3.0E-03	1.0E-04	 	Chromium(VI)	18540-29-9
 	 	 	 	 	"Chromium, Total"	7440-47-3
 	 	1.3E-02	 	0.1	Clofentezine	74115-24-5
 	9.0E-03	3.0E-04	6.0E-06	 	Cobalt	7440-48-4
 	6.2E-04	 	 	 	Coke Oven Emissions	8007-45-2
 	 	4.0E-02	 	 	Copper	7440-50-8
 	 	5.0E-02	6.0E-01	0.1	"Cresol, m-"	108-39-4
 	 	5.0E-02	6.0E-01	0.1	"Cresol, o-"	95-48-7
 	 	1.0E-01	6.0E-01	0.1	"Cresol, p-"	106-44-5
 	 	1.0E-01	 	0.1	"Cresol, p-chloro-m-"	59-50-7
 	 	1.0E-01	6.0E-01	0.1	Cresols	1319-77-3
1.9E+00	 	1.0E-03	 	 	"Crotonaldehyde, trans-"	123-73-9
 	 	1.0E-01	4.0E-01	 	Cumene	98-82-8
2.2E-01	6.3E-05	 	 	0.1	Cupferron	135-20-6
8.4E-01	 	2.0E-03	 	0.1	Cyanazine	21725-46-2
 	 	 	 	 	Cyanides	
 	 	1.0E-03	 	 	~Calcium Cyanide	592-01-8
 	 	5.0E-03	 	 	~Copper Cyanide	544-92-3
 	 	6.0E-04	8.0E-04	 	~Cyanide (CN-)	57-12-5
 	 	1.0E-03	 	 	~Cyanogen	460-19-5
 	 	9.0E-02	 	 	~Cyanogen Bromide	506-68-3
 	 	5.0E-02	 	 	~Cyanogen Chloride	506-77-4
 	 	6.0E-04	8.0E-04	 	~Hydrogen Cyanide	74-90-8
 	 	2.0E-03	 	 	~Potassium Cyanide	151-50-8
 	 	5.0E-03	 	 	~Potassium Silver Cyanide	506-61-6
 	 	1.0E-01	 	 	~Silver Cyanide	506-64-9
 	 	1.0E-03	 	 	~Sodium Cyanide	143-33-9
 	 	2.0E-04	 	 	~Thiocyanates	E1790664
 	 	2.0E-04	 	 	~Thiocyanic Acid	463-56-9
 	 	5.0E-02	 	 	~Zinc Cyanide	557-21-1
 	 	 	6.0E+00	 	Cyclohexane	110-82-7
2.0E-02	 	2.0E-02	 	0.1	"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-"	87-84-3
 	 	5.0E+00	7.0E-01	 	Cyclohexanone	108-94-1
 	 	5.0E-03	1.0E+00	 	Cyclohexene	110-83-8
 	 	2.0E-01	 	 	Cyclohexylamine	108-91-8
 	 	2.5E-02	 	0.1	Cyfluthrin	68359-37-5
 	 	1.0E-03	 	0.1	Cyhalothrin	68085-85-8
 	 	6.0E-02	 	0.1	Cypermethrin	52315-07-8
 	 	1.5E-02	 	0.1	Cyromazine	66215-27-8
2.4E-01	6.9E-05	 	 	0.1	DDD	72-54-8
3.4E-01	9.7E-05	 	 	 	"DDE, p,p'-"	72-55-9
3.4E-01	9.7E-05	5.0E-04	 	0.03	DDT	50-29-3
 	 	3.0E-02	 	0.1	Dalapon	75-99-0
1.8E-02	5.1E-06	1.5E-01	 	0.1	Daminozide	1596-84-5
7.0E-04	 	7.0E-03	 	0.1	"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)"	1163-19-5
 	 	4.0E-05	 	0.1	Demeton	8065-48-3
1.2E-03	 	6.0E-01	 	0.1	Di(2-ethylhexyl)adipate	103-23-1
6.1E-02	 	 	 	0.1	Diallate	2303-16-4
 	 	7.0E-04	 	0.1	Diazinon	333-41-5
 	 	1.0E-02	 	 	Dibenzothiophene	132-65-0
8.0E-01	6.0E-03	2.0E-04	2.0E-04	 	"Dibromo-3-chloropropane, 1,2-"	96-12-8
 	 	4.0E-04	 	 	"Dibromobenzene, 1,3-"	108-36-1
 	 	1.0E-02	 	 	"Dibromobenzene, 1,4-"	106-37-6
8.4E-02	 	2.0E-02	 	 	Dibromochloromethane	124-48-1
2.0E+00	6.0E-04	9.0E-03	9.0E-03	 	"Dibromoethane, 1,2-"	106-93-4
 	 	 	4.0E-03	 	Dibromomethane (Methylene Bromide)	74-95-3
 	 	3.0E-04	 	0.1	Dibutyltin Compounds	E1790660
 	 	3.0E-02	 	0.1	Dicamba	1918-00-9
 	4.2E-03	 	 	 	"Dichloro-2-butene, 1,4-"	764-41-0
 	4.2E-03	 	 	 	"Dichloro-2-butene, cis-1,4-"	1476-11-5
 	4.2E-03	 	 	 	"Dichloro-2-butene, trans-1,4-"	110-57-6
5.0E-02	 	4.0E-03	 	0.1	Dichloroacetic Acid	79-43-6
 	 	9.0E-02	2.0E-01	 	"Dichlorobenzene, 1,2-"	95-50-1
5.4E-03	1.1E-05	7.0E-02	8.0E-01	 	"Dichlorobenzene, 1,4-"	106-46-7
4.5E-01	3.4E-04	 	 	0.1	"Dichlorobenzidine, 3,3'-"	91-94-1
 	 	9.0E-03	 	0.1	"Dichlorobenzophenone, 4,4'-"	90-98-2
 	 	2.0E-01	1.0E-01	 	Dichlorodifluoromethane	75-71-8
5.7E-03	1.6E-06	2.0E-01	 	 	"Dichloroethane, 1,1-"	75-34-3
9.1E-02	2.6E-05	6.0E-03	7.0E-03	 	"Dichloroethane, 1,2-"	107-06-2
 	 	5.0E-02	2.0E-01	 	"Dichloroethylene, 1,1-"	75-35-4
 	 	2.0E-03	 	 	"Dichloroethylene, 1,2-cis-"	156-59-2
 	 	2.0E-02	 	 	"Dichloroethylene, 1,2-trans-"	156-60-5
 	 	3.0E-03	 	0.1	"Dichlorophenol, 2,4-"	120-83-2
 	 	1.0E-02	 	0.05	"Dichlorophenoxy Acetic Acid, 2,4-"	94-75-7
3.7E-02	3.7E-05	4.0E-02	4.0E-03	 	"Dichloropropane, 1,2-"	78-87-5
 	 	2.0E-02	 	 	"Dichloropropane, 1,3-"	142-28-9
 	 	3.0E-03	 	0.1	"Dichloropropanol, 2,3-"	616-23-9
1.0E-01	4.0E-06	3.0E-02	2.0E-02	 	"Dichloropropene, 1,3-"	542-75-6
2.9E-01	8.3E-05	5.0E-04	5.0E-04	0.1	Dichlorvos	62-73-7
 	 	7.0E-05	 	0.1	Dicrotophos	141-66-2
 	 	8.0E-02	3.0E-04	 	Dicyclopentadiene	77-73-6
1.6E+01	4.6E-03	5.0E-05	 	0.1	Dieldrin	60-57-1
 	3.0E-04	 	5.0E-03	0.1	Diesel Engine Exhaust	E17136615
 	 	2.0E-03	2.0E-04	0.1	Diethanolamine	111-42-2
 	 	3.0E-02	1.0E-04	0.1	Diethylene Glycol Monobutyl Ether	112-34-5
 	 	6.0E-02	3.0E-04	0.1	Diethylene Glycol Monoethyl Ether	111-90-0
 	 	1.0E-03	 	 	Diethylformamide	617-84-5
3.5E+02	1.0E-01	 	 	0.1	Diethylstilbestrol	56-53-1
 	 	8.3E-02	 	0.1	Difenzoquat	43222-48-6
 	 	2.0E-02	 	0.1	Diflubenzuron	35367-38-5
 	 	 	4.0E+01	 	"Difluoroethane, 1,1-"	75-37-6
4.4E-02	1.3E-05	 	 	 	Dihydrosafrole	94-58-6
 	 	 	7.0E-01	 	Diisopropyl Ether	108-20-3
 	 	8.0E-02	 	 	Diisopropyl Methylphosphonate	1445-75-6
 	 	2.2E-02	 	0.1	Dimethipin	55290-64-7
 	 	2.2E-03	 	0.1	Dimethoate	60-51-5
1.6E+00	 	 	 	0.1	"Dimethoxybenzidine, 3,3'-"	119-90-4
1.7E-03	 	6.0E-02	 	0.1	Dimethyl methylphosphonate	756-79-6
4.6E+00	1.3E-03	 	 	0.1	Dimethylamino azobenzene [p-]	60-11-7
5.8E-01	 	 	 	0.1	"Dimethylaniline HCl, 2,4-"	21436-96-4
2.0E-01	 	2.0E-03	 	0.1	"Dimethylaniline, 2,4-"	95-68-1
2.7E-02	 	2.0E-03	 	 	"Dimethylaniline, N,N-"	121-69-7
1.1E+01	 	 	 	0.1	"Dimethylbenzidine, 3,3'-"	119-93-7
 	 	1.0E-01	3.0E-02	 	Dimethylformamide	68-12-2
 	 	1.0E-04	2.0E-06	 	"Dimethylhydrazine, 1,1-"	57-14-7
5.5E+02	1.6E-01	 	 	 	"Dimethylhydrazine, 1,2-"	540-73-8
 	 	2.0E-02	 	0.1	"Dimethylphenol, 2,4-"	105-67-9
 	 	6.0E-04	 	0.1	"Dimethylphenol, 2,6-"	576-26-1
 	 	1.0E-03	 	0.1	"Dimethylphenol, 3,4-"	95-65-8
4.5E-02	1.3E-05	 	 	 	Dimethylvinylchloride	513-37-1
 	 	8.0E-05	 	0.1	"Dinitro-o-cresol, 4,6-"	534-52-1
 	 	2.0E-03	 	0.1	"Dinitro-o-cyclohexyl Phenol, 4,6-"	131-89-5
 	 	1.0E-04	 	0.1	"Dinitrobenzene, 1,2-"	528-29-0
 	 	1.0E-04	 	0.1	"Dinitrobenzene, 1,3-"	99-65-0
 	 	1.0E-04	 	0.1	"Dinitrobenzene, 1,4-"	100-25-4
 	 	2.0E-03	 	0.1	"Dinitrophenol, 2,4-"	51-28-5
6.8E-01	 	 	 	0.1	"Dinitrotoluene Mixture, 2,4/2,6-"	E1615210
3.1E-01	8.9E-05	2.0E-03	 	0.102	"Dinitrotoluene, 2,4-"	121-14-2
1.5E+00	 	3.0E-04	 	0.099	"Dinitrotoluene, 2,6-"	606-20-2
 	 	2.0E-03	 	0.006	"Dinitrotoluene, 2-Amino-4,6-"	35572-78-2
 	 	2.0E-03	 	0.009	"Dinitrotoluene, 4-Amino-2,6-"	19406-51-0
4.5E-01	 	9.0E-04	 	0.1	"Dinitrotoluene, Technical grade"	25321-14-6
 	 	1.0E-03	 	0.1	Dinoseb	88-85-7
1.0E-01	5.0E-06	3.0E-02	3.0E-02	 	"Dioxane, 1,4-"	123-91-1
 	 	 	 	 	Dioxins	
6.2E+03	1.3E+00	 	 	0.03	"~Hexachlorodibenzo-p-dioxin, Mixture"	
1.3E+05	3.8E+01	7.0E-10	4.0E-08	0.03	"~TCDD, 2,3,7,8-"	1746-01-6
 	 	3.0E-02	 	0.1	Diphenamid	957-51-7
 	 	8.0E-04	 	0.1	Diphenyl Sulfone	127-63-9
 	 	1.0E-01	 	0.1	Diphenylamine	122-39-4
8.0E-01	2.2E-04	 	 	0.1	"Diphenylhydrazine, 1,2-"	122-66-7
 	 	2.2E-03	 	0.1	Diquat	85-00-7
7.1E+00	1.4E-01	 	 	0.1	Direct Black 38	1937-37-7
7.4E+00	1.4E-01	 	 	0.1	Direct Blue 6	2602-46-2
6.7E+00	1.4E-01	 	 	0.1	Direct Brown 95	16071-86-6
 	 	4.0E-05	 	0.1	Disulfoton	298-04-4
 	 	1.0E-02	 	 	"Dithiane, 1,4-"	505-29-3
 	 	2.0E-03	 	0.1	Diuron	330-54-1
 	 	2.0E-02	 	0.1	Dodine	2439-10-3
 	 	5.0E-02	 	 	EPTC	759-94-4
 	 	6.0E-03	 	 	Endosulfan	115-29-7
 	 	2.0E-02	 	0.1	Endothall	145-73-3
 	 	3.0E-04	 	0.1	Endrin	72-20-8
9.9E-03	1.2E-06	6.0E-03	1.0E-03	 	Epichlorohydrin	106-89-8
 	 	 	2.0E-02	 	"Epoxybutane, 1,2-"	106-88-7
 	 	4.0E-02	 	0.1	"Ethanol, 2-(2-methoxyethoxy)-"	111-77-3
 	 	5.0E-03	 	0.1	Ethephon	16672-87-0
 	 	5.0E-04	 	0.1	Ethion	563-12-2
 	 	1.0E-01	6.0E-02	 	"Ethoxyethanol Acetate, 2-"	111-15-9
 	 	9.0E-02	2.0E-01	 	"Ethoxyethanol, 2-"	110-80-5
 	 	9.0E-01	7.0E-02	 	Ethyl Acetate	141-78-6
 	 	5.0E-03	8.0E-03	 	Ethyl Acrylate	140-88-5
 	 	 	1.0E+01	 	Ethyl Chloride (Chloroethane)	75-00-3
 	 	2.0E-01	 	 	Ethyl Ether	60-29-7
 	 	 	3.0E-01	 	Ethyl Methacrylate	97-63-2
 	 	1.0E-05	 	0.1	Ethyl-p-nitrophenyl Phosphonate	2104-64-5
1.1E-02	2.5E-06	1.0E-01	1.0E+00	 	Ethylbenzene	100-41-4
 	 	7.0E-02	 	0.1	Ethylene Cyanohydrin	109-78-4
 	 	9.0E-02	 	 	Ethylene Diamine	107-15-3
 	 	2.0E+00	4.0E-01	0.1	Ethylene Glycol	107-21-1
 	 	1.0E-01	1.6E+00	0.1	Ethylene Glycol Monobutyl Ether	111-76-2
3.1E-01	3.0E-03	 	3.0E-02	 	Ethylene Oxide	75-21-8
4.5E-02	1.3E-05	8.0E-05	 	0.1	Ethylene Thiourea	96-45-7
6.5E+01	1.9E-02	 	 	 	Ethyleneimine	151-56-4
 	 	3.0E+00	 	0.1	Ethylphthalyl Ethyl Glycolate	84-72-0
 	 	2.5E-04	 	0.1	Fenamiphos	22224-92-6
 	 	2.5E-02	 	0.1	Fenpropathrin	39515-41-8
 	 	2.5E-02	 	0.1	Fenvalerate	51630-58-1
 	 	1.3E-02	 	0.1	Fluometuron	2164-17-2
 	 	4.0E-02	1.3E-02	 	Fluoride	16984-48-8
 	 	6.0E-02	1.3E-02	 	Fluorine (Soluble Fluoride)	7782-41-4
 	 	8.0E-02	 	0.1	Fluridone	59756-60-4
 	 	1.5E-02	 	0.1	Flurprimidol	56425-91-3
 	 	2.0E-03	 	0.1	Flusilazole	85509-19-9
 	 	5.0E-01	 	0.1	Flutolanil	66332-96-5
 	 	1.0E-02	 	0.1	Fluvalinate	69409-94-5
 	 	9.0E-02	 	0.1	Folpet	133-07-3
 	 	2.5E-03	 	0.1	Fomesafen	72178-02-0
 	 	2.0E-03	 	0.1	Fonofos	944-22-9
 	1.3E-05	2.0E-01	9.8E-03	 	Formaldehyde	50-00-0
 	 	9.0E-01	3.0E-04	 	Formic Acid	64-18-6
 	 	2.5E+00	 	0.1	Fosetyl-AL	39148-24-8
 	 	 	 	 	Furans	
 	 	1.0E-03	 	0.03	~Dibenzofuran	132-64-9
 	 	1.0E-03	 	0.03	~Furan	110-00-9
 	 	9.0E-01	2.0E+00	0.03	~Tetrahydrofuran	109-99-9
3.8E+00	 	 	 	0.1	Furazolidone	67-45-8
 	 	3.0E-03	5.0E-02	 	Furfural	98-01-1
1.5E+00	4.3E-04	 	 	0.1	Furium	531-82-8
3.0E-02	8.6E-06	 	 	0.1	Furmecyclox	60568-05-0
 	 	6.0E-03	 	0.1	"Glufosinate, Ammonium"	77182-82-2
 	 	 	8.0E-05	0.1	Glutaraldehyde	111-30-8
 	 	4.0E-04	1.0E-03	 	Glycidyl	765-34-4
 	 	1.0E-01	 	0.1	Glyphosate	1071-83-6
 	 	1.0E-02	 	 	Guanidine	113-00-8
 	 	2.0E-02	 	0.1	Guanidine Chloride	50-01-1
 	 	3.0E-02	 	0.1	Guanidine Nitrate	506-93-4
 	 	5.0E-05	 	0.1	"Haloxyfop, Methyl"	69806-40-2
4.5E+00	1.3E-03	5.0E-04	 	 	Heptachlor	76-44-8
9.1E+00	2.6E-03	1.3E-05	 	 	Heptachlor Epoxide	1024-57-3
 	 	3.0E-04	4.0E-01	 	"Heptane, N-"	142-82-5
 	 	2.0E-03	 	 	Hexabromobenzene	87-82-1
 	 	2.0E-04	 	0.1	"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153)"	68631-49-2
1.6E+00	4.6E-04	8.0E-04	 	 	Hexachlorobenzene	118-74-1
7.8E-02	2.2E-05	1.0E-03	 	 	Hexachlorobutadiene	87-68-3
6.3E+00	1.8E-03	8.0E-03	 	0.1	"Hexachlorocyclohexane, Alpha-"	319-84-6
1.8E+00	5.3E-04	 	 	0.1	"Hexachlorocyclohexane, Beta-"	319-85-7
1.1E+00	3.1E-04	3.0E-04	 	0.04	"Hexachlorocyclohexane, Gamma- (Lindane)"	58-89-9
1.8E+00	5.1E-04	 	 	0.1	"Hexachlorocyclohexane, Technical"	608-73-1
 	 	6.0E-03	2.0E-04	 	Hexachlorocyclopentadiene	77-47-4
4.0E-02	1.1E-05	7.0E-04	3.0E-02	 	Hexachloroethane	67-72-1
 	 	3.0E-04	 	0.1	Hexachlorophene	70-30-4
1.1E-01	 	3.0E-03	 	0.015	"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)"	121-82-4
 	 	 	1.0E-05	 	"Hexamethylene Diisocyanate, 1,6-"	822-06-0
 	 	4.0E-04	 	0.1	Hexamethylphosphoramide	680-31-9
 	 	 	7.0E-01	 	"Hexane, N-"	110-54-3
 	 	2.0E+00	 	0.1	Hexanedioic Acid	124-04-9
 	 	5.0E-03	3.0E-02	 	"Hexanone, 2-"	591-78-6
 	 	3.3E-02	 	0.1	Hexazinone	51235-04-2
 	 	2.5E-02	 	0.1	Hexythiazox	78587-05-0
